Aathal-Seegräben; CH
Le Solliat; CH
Le Sépey; CH
Leggia; CH
Leherfeld;Dammsfeld; DE
Lehmsiek; DE
Leimbach AG; CH
Lenggenwil; CH
Lengnau AG; CH
Lengnau BE; CH
Lenk im Simmental; CH
Lentigny; CH
Lenzburg 1; CH
Les Avanchets; CH
Les Bioux; CH
Les Brenets; CH
Les Crosets; CH
Les Ecorcheresses; CH
Les Emibois; CH
Les Friques; CH
Les Moulins; CH
Les Paccots; CH
Les Plans-sur-Bex; CH
Les Pommerats; CH
Les Prés-dOrvin; CH
Les Rasses; CH
Les Thioleyres; CH
Levensau; DE
Libingen; CH
Lichtenberg /Erzgeb.; DE
Lichtenow; DE
Lichtenstein /Sa.; DE
Liebistorf; CH
Liez (St-Martin); CH
Limburg; DE
Limburg a.d. Lahn; DE
Lindemannsruhe; DE
Lindenberg i. Allgäu; DE
Lindenhof; DE
Linkersbaindt; DE
Lippoldswilen; CH
Lochmühle; DE
Locktow;Dahnsdorf;Ziezow;Kranepuhl;Mörz; DE
Loco; CH
Lohen;Krücklham;Heuwinkl;Reiser;Mittergars; DE
Lohheide, gemfr. Bezirk; DE
Lohn SH; CH
Lohnstorf; CH
Lohr a. Main; DE
Lotenberg;Haagwiesen; DE
Lotsenstation; DE
Louisenberg; DE
Louisenhof; DE
Luchle; DE
Luchsingen; CH
Ludescherberg; AT
Ludiano; CH
Lugano 2 Paradiso Caselle; CH
Lugnorre; CH
Luhnvie; DE
Luhrbach; DE
Lully FR; CH
Lully VD; CH
Lumbrein; CH
Luppertsseifen, Gem Burscheid; DE
Lustdorf; CH
Lustmühle; CH
Luthern Bad; CH
Lutherstadt Eisleben; DE
Lutherstadt Wittenberg; DE
Ländlerhof; DE
Lübbenau /Spreewald; DE
Lüchingen; CH
Lüsslingen; CH
Lütisburg Station; CH
Machtemesmühle;Preischeiderley; DE
Madrano; CH
Maiermund;Briedeler Heck;Hohestein; DE
Mainz-Kastel; DE
Mainz-Kostheim; DE
Mairing; DE
Makenhof; DE
Malans GR; CH
Malse; DE
Manker; DE
Marbach; DE
Marbach SG; CH
Marienhof; DE
Marin-Epagnier; CH
Markenschlagrotte; AT
Markertsgrün; DE
Maroggia; CH
Martigny-Croix; CH
Martinskirchen;Brottewitz;Koßdorf; DE
Marzauermühle; DE
Maseltrangen; CH
Mastrils; CH
Matten b. Interlaken; CH
Mauthaus; DE
Mecklenburg-Vorpommern; DE
Medeglia; CH
Meetzen; DE
Meien; CH
Meisdorf;Ermsleben;Reinstedt; DE
Melano; CH
Melusinental; DE
Menglers; DE
Merkeshausen; DE
Mex VD; CH
Mex VS; CH
Mezzovico; CH
Michelau i. Steigerwald; DE
Michelbacher Mühle; DE
Michelhölzle; DE
Middes; CH
Mielberg; DE
Miele;Rehwinkel; DE
Minderleinsmühle;Gabermühle; DE
Misériez (Salins); CH
Mittelmühle; DE
Mittelschieda; DE
Miège; CH
Modenbacherhof; DE
Mohrenmühle;Franzenmühle; DE
Moiry VD; CH
Moisall;Käterhagen;Jabelitz;Langen Trechow;Neu Käterhagen;Kurzen Trechow;Göllin;Glambeck; DE
Mollens VD; CH
Mollie-Margot; CH
Mont-Crosin; CH
Montagne-de-Courtelary; CH
Montavon; CH
Montbovon; CH
Montet (Broye); CH
Montforterhof; DE
Monthey 2; CH
Montignez; CH
Montlingen; CH
Montsevelier; CH
Morcles; CH
Morest; DE
Morges 1; CH
Morrens VD; CH
Mosen; CH
Muhr a. See; DE
Mundhardterhof; DE
Muri AG; CH
Murnau a. Staffelsee; DE
Murzelen; CH
Muttenhaus; DE
Muttenz 1; CH
Mädris-Vermol; CH
Mézery-près-Donneloye; CH
Möderboden; AT
Mönchshof; DE
Mötschwil; CH
Mückenhof; DE
Mühlenbeck; DE
Mühlenthal; DE
Mühlhausen /Thüringen; DE
Mühlwand; DE
Mülenen; CH
Müllheim Dorf; CH
Münchenstein 1; CH
Münchringen; CH
Münchwilen AG; CH
Müstair; CH
Nax; CH
Necker; CH
Nenzinger Himmel; AT
Nesselnbach; CH
Nettemühle; DE
Netzeband;Katerbow;Rägelin;Darsikow;Pfalzheim; DE
